date,air_temp_51000h,air_temp_51101h,average_wave_period_51000h,average_wave_period_51101h,average_wave_period_51201h,dominant_wave_period_51000h,dominant_wave_period_51101h,dominant_wave_period_51201h,wave_height_21418t,wave_height_46402t,wave_height_51000h,wave_height_51101h,wave_height_51201h
2017-04-06,23.158333333333335,24.0375,8.772916666666667,7.3875,7.277872340425532,10.939166666666667,9.367916666666666,10.786170212765958,NA,14.150937499999761,2.004583333333333,1.6891666666666667,1.4327659574468086
2017-04-07,23.6,24.208333333333332,9.0325,7.142083333333334,7.413958333333333,11.80125,11.769583333333333,11.610833333333334,NA,14.144947916666439,1.9520833333333334,1.5879166666666666,1.5275
2017-04-08,23.816666666666666,24.4125,7.925833333333333,6.6450000000000005,7.926888888888889,11.455833333333333,10.875833333333333,11.911777777777777,NA,14.11180208333307,1.8616666666666666,1.6300000000000001,1.4426666666666665
2017-04-09,23.8125,24.575,6.6475,6.377083333333333,7.704166666666667,10.746666666666666,8.980833333333333,10.419166666666667,NA,14.08709374999981,1.6445833333333333,1.1954166666666666,1.1614583333333333
2017-04-10,24.0125,23.566666666666666,7.3966666666666665,6.219166666666666,7.080416666666666,11.788333333333334,12.851666666666667,11.341458333333334,NA,14.076781249999792,1.5595833333333333,1.9225,0.9872916666666667
2017-04-11,23.983333333333334,23.575,8.252916666666666,6.962916666666667,7.673829787234043,12.4325,9.68875,11.67595744680851,NA,14.084010416666407,2.382083333333333,2.9525,1.6825531914893617
2017-04-12,23.816666666666666,24.09583333333333,7.247916666666667,7.2875,8.075744680851065,13.948333333333334,13.182083333333333,14.044468085106383,NA,14.096072916666449,2.2804166666666665,2.7683333333333335,1.8051063829787235
2017-04-13,23.541666666666668,24.2625,7.1066666666666665,6.9275,7.832916666666667,13.217083333333333,9.4025,13.328958333333333,NA,14.113156249999784,2.1845833333333333,2.07625,1.59625
2017-04-14,23.469565217391306,24.316666666666666,7.501739130434783,8.0475,8.11625,14.73391304347826,15.265416666666667,15.506875,NA,14.121031249999769,1.9369565217391305,1.9591666666666667,1.500625
2017-04-15,23.2125,23.066666666666666,9.151666666666667,8.912916666666666,9.89,15.008333333333333,14.220416666666667,14.669583333333334,NA,14.12981249999971,2.1550000000000002,2.3358333333333334,1.9695833333333332
